Agency_Id,Service_Id,ServiceContact_ServiceContact,ServiceSystem_DateOfLastCompleteUpdate,ServiceOption_Status,ServiceOption_WebsiteVisibility,ServiceAccount_ServiceAccount_Both,ServiceAccount_ServiceAccount,ServiceOption_CallCenterList,ServiceSystem_Name,ServiceCustom_Wa211serviceAffectedByCovid19,ServiceCustom_WaPhoneworkerNote,ServiceSystem_Description,ServiceSystem_PhoneMain,ServiceCustom_Phone1Ext,ServiceCustom_Phone1Description,ServiceSystem_EmailAddress,ServiceSystem_Websiteurl,ServiceProgram_ServiceProgram_Both,ServiceProgram_ServiceProgram,ServiceSite_ServiceSite_Both,ServiceSite_ServiceSite,ServiceHoursofoperation_ModuleHoursofoperation,ServiceOption_DaysOfTheWeek,ServiceOption_HoursOfService,ServiceCustom_Wa211viewHoursStyle,ServiceSystem_HoursOfOperation,ServiceTaxonomy_ModuleServicepost,ServiceGeotagus_ServiceGeotagus,ServiceCustom_ServiceAka,ServiceCustom_Wa211HoursStyleGuide,ServiceCustom_Wa211HoursStyle,ServiceOption_FocusPopulations,ServiceOption_AgeGroups,ServiceOption_DisabilitiesHealthConditions
6701,21248,"[{""Contact_Id"":752}]",2021/12/28,"[""Active""]","[""Show Service""]","[{""Account_Id"":33,""Name"":""Sarah Teague <saraht@uwpc.org>""}]","[{""Account_Id"":33}]","[""SS211""]","Child Protective Services offered by Washington State Department of Children, Youth, and Families in Lakewood",,,Investigates reports of child abuse and neglect. Assesses reports to determine whether the report meets the legal definition of abuse or neglect and how dangerous the situation is.,888-713-6115,,Daytime Intake,,https://www.dcyf.wa.gov/safety/report-abuse,"[{""Program_Id"":11254,""Name"":""Child Protective Services""}]","[{""Program_Id"":11254}]","[{""Site_Id"":10307,""Name"":""Washington State Department of Children, Youth, and Families in Lakewood""}]","[{""Site_Id"":10307}]","{""open"":{""Monday"":[[[8,0],[16,30]]],""Tuesday"":[[[8,0],[16,30]]],""Wednesday"":[[[8,0],[16,30]]],""Thursday"":[[[8,0],[16,30]]],""Friday"":[[[8,0],[16,30]]]},""closed"":[]}","[""Wednesday"",""Tuesday"",""Thursday"",""Sunday"",""Saturday"",""Monday"",""Friday""]",,,"M-F, 8am-4:30pm. Intake: 24 hours daily.","[{""taxonomy_code"":""RP-1500.1400-150""},{""taxonomy_code"":""PH-6500.1500""},{""taxonomy_code"":""FT-6940.1500""},{""taxonomy_code"":""FT-3000.1750""}]","[{""scope"":""county"",""county"":""Pierce"",""state"":""WA""}]","Child Protective Services offered at Washington State Department of Children, Youth, and Families - Lakewood, CPS, DCYF",,,,,
6701,21275,"[{""Contact_Id"":752}]",2019/09/06,"[""Active""]","[""Show Service""]","[{""Account_Id"":35,""Name"":""Kelly Schwab <peninsulas211+datamanager@gmail.com>""}]","[{""Account_Id"":35}]","[""PE211""]","Family Reconciliation Services offered by Washington State Department of Children, Youth, and Families in Long Beach",,,Provides crisis intervention services for families with youth ages 12-17 who have run away or who are in serious conflict with their families.,866-764-2233,,,,https://www.dcyf.wa.gov/services/at-risk-youth/frs,"[{""Program_Id"":7109,""Name"":""Family Reconciliation Services""}]","[{""Program_Id"":7109}]","[{""Site_Id"":10094,""Name"":""Washington State Department of Children, Youth, and Families in Long Beach""}]","[{""Site_Id"":10094}]","{""open"":{""Monday"":[[[8,0],[17,0]]],""Tuesday"":[[[8,0],[17,0]]],""Wednesday"":[[[8,0],[17,0]]],""Thursday"":[[[8,0],[17,0]]],""Friday"":[[[8,0],[17,0]]]},""closed"":[]}","[""Saturday"",""Sunday"",""Wednesday"",""Tuesday"",""Thursday"",""Monday"",""Friday""]",,,"M-F, 8am-4:30pm. Intake: 24 hours daily.","[{""taxonomy_code"":""RR-5150.5000-700""}]","[{""scope"":""county"",""county"":""Pacific"",""state"":""WA""}]","Washington State Department of Children, Youth and Families - Pacific, Children's Administration, Department of Social and Health Services, Division of Children and Family Services, DSHS - DCFS, FRS - Family Reconciliation Services, Washington State Department of Children, Youth and Families- Long Beach, dcyf",,,,,
6701,21276,"[{""Contact_Id"":752}]",2021/12/28,"[""Active""]","[""Show Service""]","[{""Account_Id"":33,""Name"":""Sarah Teague <saraht@uwpc.org>""}]","[{""Account_Id"":33}]","[""SS211""]","Family Reconciliation Services offered by Washington State Department of Children, Youth, and Families in Tacoma",,,Provides crisis intervention services for families with youth ages 12-17 who have run away or who are in serious conflict with their families.,888-713-6115,,,,https://www.dcyf.wa.gov/services/at-risk-youth/frs,"[{""Program_Id"":7109,""Name"":""Family Reconciliation Services""}]","[{""Program_Id"":7109}]","[{""Site_Id"":10066,""Name"":""Washington State Department of Children, Youth, and Families in Tacoma""}]","[{""Site_Id"":10066}]","{""open"":{""Monday"":[[[8,0],[16,30]]],""Tuesday"":[[[8,0],[16,30]]],""Wednesday"":[[[8,0],[16,30]]],""Thursday"":[[[8,0],[16,30]]],""Friday"":[[[8,0],[16,30]]]},""closed"":[]}","[""Saturday"",""Sunday"",""Wednesday"",""Tuesday"",""Thursday"",""Monday"",""Friday""]",,,"M-F, 8am-4:30pm. Intake: 24 hours daily.","[{""taxonomy_code"":""RR-5150.5000-700""}]","[{""scope"":""county"",""county"":""Pierce"",""state"":""WA""}]","Washington State Department of Children, Youth, and Families - Child Welfare System - Pierce County, Family Reconciliation Services offered at Washington State Department of Children, Youth, and Families - Tacoma",,,,,
6701,21278,"[{""Contact_Id"":752}]",2021/12/28,"[""Active""]","[""Show Service""]","[{""Account_Id"":33,""Name"":""Sarah Teague <saraht@uwpc.org>""}]","[{""Account_Id"":33}]","[""SS211""]","Child Welfare Services offered by Washington State Department of Children, Youth, and Families in Lakewood",,,Provides intensive treatment services to keep children and youth safely at home or to more quickly achieve safe reunification or other permanency when children and youth must be placed away from their parents.,888-713-6115,,Daytime Intake,,https://www.dcyf.wa.gov/services/child-welfare-system/cps,"[{""Program_Id"":9658,""Name"":""Child Welfare Services""}]","[{""Program_Id"":9658}]","[{""Site_Id"":10307,""Name"":""Washington State Department of Children, Youth, and Families in Lakewood""}]","[{""Site_Id"":10307}]","{""open"":{""Monday"":[[[8,0],[16,30]]],""Tuesday"":[[[8,0],[16,30]]],""Wednesday"":[[[8,0],[16,30]]],""Thursday"":[[[8,0],[16,30]]],""Friday"":[[[8,0],[16,30]]]},""closed"":[]}","[""Saturday"",""Sunday"",""Wednesday"",""Tuesday"",""Thursday"",""Monday"",""Friday""]",,,"M-F, 8am-4:30pm. Intake: 24 hours daily.","[{""taxonomy_code"":""PH-2360.2350""},{""taxonomy_code"":""PH-2360.3300""}]","[{""scope"":""county"",""county"":""Pierce"",""state"":""WA""}]","Child Welfare Services offered at Washington State Department of Children, Youth, and Families - Lakewood, DCYF",,,,,
6701,21282,"[{""Contact_Id"":752}]",2021/12/28,"[""Active""]","[""Show Service""]","[{""Account_Id"":33,""Name"":""Sarah Teague <saraht@uwpc.org>""}]","[{""Account_Id"":33}]","[""SS211""]","Family Reconciliation Services offered by Washington State Department of Children, Youth, and Families in Lakewood",,,Provides crisis intervention services for families with youth ages 12-17 who have run away or who are in serious conflict with their families.,888-713-6115,,Daytime Intake,,https://www.dcyf.wa.gov/services/at-risk-youth/frs,"[{""Program_Id"":7109,""Name"":""Family Reconciliation Services""}]","[{""Program_Id"":7109}]","[{""Site_Id"":10307,""Name"":""Washington State Department of Children, Youth, and Families in Lakewood""}]","[{""Site_Id"":10307}]","{""open"":{""Monday"":[[[8,0],[16,30]]],""Tuesday"":[[[8,0],[16,30]]],""Wednesday"":[[[8,0],[16,30]]],""Thursday"":[[[8,0],[16,30]]],""Friday"":[[[8,0],[16,30]]]},""closed"":[]}","[""Saturday"",""Sunday"",""Wednesday"",""Tuesday"",""Thursday"",""Monday"",""Friday""]",,,"M-F, 8am-4:30pm. Intake: 24 hours daily.","[{""taxonomy_code"":""RR-5150.5000-700""}]","[{""scope"":""county"",""county"":""Pierce"",""state"":""WA""}]","Family Reconciliation Services offered at Washington State Department of Children, Youth, and Families - Lakewood, DCYF, Children, Youth & Families",,,,,
6701,21286,"[{""Contact_Id"":752}]",2018/05/21,"[""Active""]","[""Show Service""]","[{""Account_Id"":96,""Name"":""Carrie Sanchez <csanchez@voaww.org>""}]","[{""Account_Id"":96}]","[""NS211""]","Adoption offered by Washington State Department of Children, Youth, and Families in Friday Harbor",,,"Recruits and screens families interested in adopting children who are in the care and custody of the Department of Children, Youth, and Families.",866-829-2153,,Daytime Intake,julie.pettit@dcyf.wa.gov,https://www.dcyf.wa.gov/services/adoption,"[{""Program_Id"":12405,""Name"":""Adoption""}]","[{""Program_Id"":12405}]","[{""Site_Id"":10325,""Name"":""Washington State Department of Children, Youth, and Families in Friday Harbor""}]","[{""Site_Id"":10325}]","{""open"":{""Monday"":[[[8,0],[16,30]]],""Tuesday"":[[[8,0],[16,30]]],""Wednesday"":[[[8,0],[16,30]]],""Thursday"":[[[8,0],[16,30]]],""Friday"":[[[8,0],[16,30]]]},""closed"":[]}","[""Wednesday"",""Tuesday"",""Thursday"",""Monday"",""Friday""]",,,"M-F, 8am-4:30pm. Intake: 24 hours daily.","[{""taxonomy_code"":""PH-0300.8100-800""},{""taxonomy_code"":""PH-0300.0350""}]","[{""scope"":""county"",""county"":""San Juan"",""state"":""WA""}]","Adoption offered at Washington State Department of Children, Youth, and Families - Friday Harbor",,,,,
6701,21294,"[{""Contact_Id"":752}]",2022/08/05,"[""Active""]","[""Show Service""]","[{""Account_Id"":96,""Name"":""Carrie Sanchez <csanchez@voaww.org>""}]","[{""Account_Id"":96}]","[""NS211""]","Child Protective Services offered by Washington State Department of Children, Youth, and Families in Friday Harbor",,,Investigates reports of child abuse and neglect. Assesses reports to determine whether the report meets the legal definition of abuse or neglect and how dangerous the situation is.,866-829-2153,,Daytime Intake,,https://www.dcyf.wa.gov/safety/report-abuse,"[{""Program_Id"":11254,""Name"":""Child Protective Services""}]","[{""Program_Id"":11254}]","[{""Site_Id"":10325,""Name"":""Washington State Department of Children, Youth, and Families in Friday Harbor""}]","[{""Site_Id"":10325}]","{""open"":{""Monday"":[[[8,0],[16,30]]],""Tuesday"":[[[8,0],[16,30]]],""Wednesday"":[[[8,0],[16,30]]],""Thursday"":[[[8,0],[16,30]]],""Friday"":[[[8,0],[16,30]]]},""closed"":[]}","[""Friday"",""Monday"",""Saturday"",""Sunday"",""Thursday"",""Tuesday"",""Wednesday""]",,,"M-F, 8am-4:30pm. Intake: 24 hours daily.","[{""taxonomy_code"":""FT-6940.1500""},{""taxonomy_code"":""FT-3000.1750""},{""taxonomy_code"":""RP-1500.1400-150""},{""taxonomy_code"":""PH-6500.1500""}]","[{""scope"":""county"",""county"":""San Juan"",""state"":""WA""}]","Child Protective Services offered at Washington State Department of Children, Youth, and Families - Friday Harbor",,,,,
6701,21295,"[{""Contact_Id"":752}]",2017/07/23,"[""Active""]","[""Show Service""]","[{""Account_Id"":96,""Name"":""Carrie Sanchez <csanchez@voaww.org>""}]","[{""Account_Id"":96}]","[""NS211""]","Child Welfare Services offered by Washington State Department of Children, Youth, and Families in Friday Harbor",,,Provides intensive treatment services to keep children and youth safely at home or to more quickly achieve safe reunification or other permanency when children and youth must be placed away from their parents.,866-829-2153,,Daytime Intake,,https://www.dcyf.wa.gov/services/child-welfare-system/cps,"[{""Program_Id"":9658,""Name"":""Child Welfare Services""}]","[{""Program_Id"":9658}]","[{""Site_Id"":10325,""Name"":""Washington State Department of Children, Youth, and Families in Friday Harbor""}]","[{""Site_Id"":10325}]","{""open"":{""Monday"":[[[8,0],[16,30]]],""Tuesday"":[[[8,0],[16,30]]],""Wednesday"":[[[8,0],[16,30]]],""Thursday"":[[[8,0],[16,30]]],""Friday"":[[[8,0],[16,30]]]},""closed"":[]}","[""Friday"",""Monday"",""Saturday"",""Sunday"",""Thursday"",""Tuesday"",""Wednesday""]",,,"M-F, 8am-4:30pm. Intake: 24 hours daily.","[{""taxonomy_code"":""PH-2360.3300""},{""taxonomy_code"":""PH-2360.2350""}]","[{""scope"":""county"",""county"":""San Juan"",""state"":""WA""}]","Child Welfare Services offered at Washington State Department of Children, Youth, and Families - Friday Harbor",,,,,
6701,21296,"[{""Contact_Id"":752}]",2017/07/23,"[""Active""]","[""Show Service""]","[{""Account_Id"":96,""Name"":""Carrie Sanchez <csanchez@voaww.org>""}]","[{""Account_Id"":96}]","[""NS211""]","Family Reconciliation Services offered by Washington State Department of Children, Youth, and Families in Mount Vernon",,,Provides crisis intervention services for families with youth ages 12-17 who have run away or who are in serious conflict with their families.,866-829-2153,,,,https://www.dcyf.wa.gov/services/at-risk-youth/frs,"[{""Program_Id"":7109,""Name"":""Family Reconciliation Services""}]","[{""Program_Id"":7109}]","[{""Site_Id"":10138,""Name"":""Washington State Department of Children, Youth, and Families in Mount Vernon""}]","[{""Site_Id"":10138}]","{""open"":{""Monday"":[[[8,0],[16,30]]],""Tuesday"":[[[8,0],[16,30]]],""Wednesday"":[[[8,0],[16,30]]],""Thursday"":[[[8,0],[16,30]]],""Friday"":[[[8,0],[16,30]]]},""closed"":[]}","[""Friday"",""Monday"",""Saturday"",""Sunday"",""Thursday"",""Tuesday"",""Wednesday""]",,,"M-F, 8am-4:30pm. Intake: 24 hours daily.","[{""taxonomy_code"":""RR-5150.5000-700""}]","[{""scope"":""county"",""county"":""Skagit"",""state"":""WA""}]","DSHS - DCFS - Skagit County, Child Protective Services, CPS, Foster Care, DCFS - Mount Vernon",,,,,
6701,21297,"[{""Contact_Id"":752}]",2017/07/23,"[""Active""]","[""Show Service""]","[{""Account_Id"":96,""Name"":""Carrie Sanchez <csanchez@voaww.org>""}]","[{""Account_Id"":96}]","[""NS211""]","Family Reconciliation Services offered by Washington State Department of Children, Youth, and Families in Everett",,,Provides crisis intervention services for families with youth ages 12-17 who have run away or who are in serious conflict with their families.,866-829-2153,,,,https://www.dcyf.wa.gov/services/at-risk-youth/frs,"[{""Program_Id"":7109,""Name"":""Family Reconciliation Services""}]","[{""Program_Id"":7109}]","[{""Site_Id"":10139,""Name"":""Washington State Department of Children, Youth, and Families in Everett""}]","[{""Site_Id"":10139}]","{""open"":{""Monday"":[[[8,0],[16,30]]],""Tuesday"":[[[8,0],[16,30]]],""Wednesday"":[[[8,0],[16,30]]],""Thursday"":[[[8,0],[16,30]]],""Friday"":[[[8,0],[16,30]]]},""closed"":[]}","[""Friday"",""Monday"",""Saturday"",""Sunday"",""Thursday"",""Tuesday"",""Wednesday""]",,,"M-F, 8am-4:30pm. Intake: 24 hours daily.","[{""taxonomy_code"":""RR-5150.5000-700""}]","[{""scope"":""county"",""county"":""Snohomish"",""state"":""WA""}]","DSHS - DCFS - Snohomish County, Child Protective Services, CPS, Foster Care, DCFS - Everett",,,,,
6701,21298,"[{""Contact_Id"":752}]",2017/07/23,"[""Active""]","[""Show Service""]","[{""Account_Id"":96,""Name"":""Carrie Sanchez <csanchez@voaww.org>""}]","[{""Account_Id"":96}]","[""NS211""]","Family Reconciliation Services offered by Washington State Department of Children, Youth, and Families in Lynnwood",,,Provides crisis intervention services for families with youth ages 12-17 who have run away or who are in serious conflict with their families.,866-829-2153,,,,https://www.dcyf.wa.gov/services/at-risk-youth/frs,"[{""Program_Id"":7109,""Name"":""Family Reconciliation Services""}]","[{""Program_Id"":7109}]","[{""Site_Id"":10326,""Name"":""Washington State Department of Children, Youth, and Families in Lynnwood""}]","[{""Site_Id"":10326}]","{""open"":{""Monday"":[[[8,0],[16,30]]],""Tuesday"":[[[8,0],[16,30]]],""Wednesday"":[[[8,0],[16,30]]],""Thursday"":[[[8,0],[16,30]]],""Friday"":[[[8,0],[16,30]]]},""closed"":[]}","[""Friday"",""Monday"",""Saturday"",""Sunday"",""Thursday"",""Tuesday"",""Wednesday""]",,,"M-F, 8am-4:30pm. Intake: 24 hours daily.","[{""taxonomy_code"":""RR-5150.5000-700""}]","[{""scope"":""county"",""county"":""Snohomish"",""state"":""WA""}]","DSHS - DCFS - Snohomish County, Child Protective Services, CPS, Foster Care, DCFS - Lynnwood",,,,,
6701,21299,"[{""Contact_Id"":752}]",2017/07/23,"[""Active""]","[""Show Service""]","[{""Account_Id"":96,""Name"":""Carrie Sanchez <csanchez@voaww.org>""}]","[{""Account_Id"":96}]","[""NS211""]","Family Reconciliation Services offered by Washington State Department of Children, Youth, and Families in Friday Harbor",,,Provides crisis intervention services for families with youth ages 12-17 who have run away or who are in serious conflict with their families.,866-829-2153,,Daytime Intake,,https://www.dcyf.wa.gov/services/at-risk-youth/frs,"[{""Program_Id"":7109,""Name"":""Family Reconciliation Services""}]","[{""Program_Id"":7109}]","[{""Site_Id"":10325,""Name"":""Washington State Department of Children, Youth, and Families in Friday Harbor""}]","[{""Site_Id"":10325}]","{""open"":{""Monday"":[[[8,0],[16,30]]],""Tuesday"":[[[8,0],[16,30]]],""Wednesday"":[[[8,0],[16,30]]],""Thursday"":[[[8,0],[16,30]]],""Friday"":[[[8,0],[16,30]]]},""closed"":[]}","[""Friday"",""Monday"",""Saturday"",""Sunday"",""Thursday"",""Tuesday"",""Wednesday""]",,,"M-F, 8am-4:30pm. Intake: 24 hours daily.","[{""taxonomy_code"":""RR-5150.5000-700""}]","[{""scope"":""county"",""county"":""San Juan"",""state"":""WA""}]","Family Reconciliation Services offered at Washington State Department of Children, Youth, and Families - Friday Harbor",,,,,
6701,21300,"[{""Contact_Id"":752}]",2017/07/23,"[""Active""]","[""Show Service""]","[{""Account_Id"":96,""Name"":""Carrie Sanchez <csanchez@voaww.org>""}]","[{""Account_Id"":96}]","[""NS211""]","Family Reconciliation Services offered by Washington State Department of Children, Youth, and Families in Smokey Point",,,Provides crisis intervention services for families with youth ages 12-17 who have run away or who are in serious conflict with their families.,866-829-2153,,,,https://www.dcyf.wa.gov/services/at-risk-youth/frs,"[{""Program_Id"":7109,""Name"":""Family Reconciliation Services""}]","[{""Program_Id"":7109}]","[{""Site_Id"":10403,""Name"":""Washington State Department of Children, Youth, and Families in Smokey Point""}]","[{""Site_Id"":10403}]","{""open"":{""Monday"":[[[8,0],[16,30]]],""Tuesday"":[[[8,0],[16,30]]],""Wednesday"":[[[8,0],[16,30]]],""Thursday"":[[[8,0],[16,30]]],""Friday"":[[[8,0],[16,30]]]},""closed"":[]}","[""Friday"",""Monday"",""Saturday"",""Sunday"",""Thursday"",""Tuesday"",""Wednesday""]",,,"M-F, 8am-4:30pm. Intake: 24 hours daily.","[{""taxonomy_code"":""RR-5150.5000-700""}]","[{""scope"":""county"",""county"":""Snohomish"",""state"":""WA""}]","DSHS - DCFS - Snohomish County, Child Protective Services, CPS, Foster Care, DCFS - Smokey Point",,,,,
6701,21301,"[{""Contact_Id"":752}]",2017/07/23,"[""Active""]","[""Show Service""]","[{""Account_Id"":96,""Name"":""Carrie Sanchez <csanchez@voaww.org>""}]","[{""Account_Id"":96}]","[""NS211""]","Family Reconciliation Services offered by Washington State Department of Children, Youth, and Families in Bellingham",,,Provides crisis intervention services for families with youth ages 12-17 who have run away or who are in serious conflict with their families.,866-829-2153,,,,https://www.dcyf.wa.gov/services/at-risk-youth/frs,"[{""Program_Id"":7109,""Name"":""Family Reconciliation Services""}]","[{""Program_Id"":7109}]","[{""Site_Id"":10140,""Name"":""Washington State Department of Children, Youth, and Families in Bellingham""}]","[{""Site_Id"":10140}]","{""open"":{""Monday"":[[[8,0],[16,30]]],""Tuesday"":[[[8,0],[16,30]]],""Wednesday"":[[[8,0],[16,30]]],""Thursday"":[[[8,0],[16,30]]],""Friday"":[[[8,0],[16,30]]]},""closed"":[]}","[""Friday"",""Monday"",""Saturday"",""Sunday"",""Thursday"",""Tuesday"",""Wednesday""]",,,"M-F, 8am-4:30pm. Intake: 24 hours daily.","[{""taxonomy_code"":""RR-5150.5000-700""}]","[{""scope"":""county"",""county"":""Whatcom"",""state"":""WA""}]","DSHS - DCFS - Whatcom County, CPS, Foster Care, DCFS - Bellingham",,,,,
6701,21346,"[{""Contact_Id"":752}]",2018/05/17,"[""Active""]","[""Show Service""]","[{""Account_Id"":27,""Name"":""Norma Mendoza <nmendoza@pfp.org>""}]","[{""Account_Id"":27}]","[""GC211""]","Child Welfare Services offered by Washington State Department of Children, Youth, and Families in Yakima",,,Provides intensive treatment services to keep children and youth safely at home or to more quickly achieve safe reunification or other permanency when children and youth must be placed away from their parents.,509-225-6500,,Daytime Intake,,https://www.dcyf.wa.gov/services/child-welfare-system/cps,"[{""Program_Id"":9658,""Name"":""Child Welfare Services""}]","[{""Program_Id"":9658}]","[{""Site_Id"":10195,""Name"":""Washington State Department of Children, Youth, and Families in Yakima""}]","[{""Site_Id"":10195}]","{""open"":{""Monday"":[[[8,0],[16,30]]],""Tuesday"":[[[8,0],[16,30]]],""Wednesday"":[[[8,0],[16,30]]],""Thursday"":[[[8,0],[16,30]]],""Friday"":[[[8,0],[16,30]]]},""closed"":[]}","[""Wednesday"",""Tuesday"",""Thursday"",""Monday"",""Friday""]",,,"M-F, 8am-4:30pm. Intake: 24 hours daily.","[{""taxonomy_code"":""PH-2360.3300""},{""taxonomy_code"":""PH-2360.2350""}]","[{""scope"":""county"",""county"":""Yakima"",""state"":""WA""}]","DSHS Region 1 - Yakima Office of Division of Children and Family Services, CPS, DCFS - Yakima, Adoption,   (DSHS Region 1 - Yakima Office of Division of Children and Family Services)",,,,,
